SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,March-31-2023,Single Family Residential,22414 Sierra Lake Ct,Katy,TX,77494,465000,3,3.0,Grand Lakes,2842,9620,1998,,164,88,Sold,,,https://www.redfin.com/TX/Katy/22414-Sierra-Lake-Ct-77494/home/33097830,HARMLS,23624954,N,Y,29.710061,-95.7690331
PAST SALE,June-26-2023,Single Family Residential,23827 Padauk Tree Trl,Katy,TX,77493,490000,4,3.5,Morton Crk Ranch,3577,7584,2019,,137,50,Sold,,,https://www.redfin.com/TX/Katy/23827-Padauk-Tree-Trl-77493/home/160506285,HARMLS,2108882,N,Y,29.8161386,-95.7879917
PAST SALE,July-25-2023,Single Family Residential,3806 Bridgebay Ln,Katy,TX,77449,285000,3,2.5,Bridgewater Pointe,2128,6050,1998,,134,41,Sold,,,https://www.redfin.com/TX/Katy/3806-Bridgebay-Ln-77449/home/30675413,HARMLS,47996208,N,Y,29.8286027,-95.7470355
PAST SALE,April-20-2023,Single Family Residential,21103 Settlers Valley Dr,Katy,TX,77449,235000,3,2.0,Settlers Village Sec 01 R/p,1425,9200,1979,,165,27,Sold,,,https://www.redfin.com/TX/Katy/21103-Settlers-Valley-Dr-77449/home/30387779,HARMLS,26841535,N,Y,29.874874,-95.7330444
PAST SALE,January-23-2024,Single Family Residential,19626 Oakwood Falls Trl,Houston,TX,77084,300000,3,2.0,Creek Bend Estates Sec 03,2159,6050,2000,,139,54,Sold,,,https://www.redfin.com/TX/Houston/19626-Oakwood-Falls-Trl-77084/home/30689205,HARMLS,81497714,N,Y,29.8108036,-95.714229
PAST SALE,April-20-2023,Single Family Residential,28115 Rebecca Meadow Fall Ln,Katy,TX,77494,485000,4,2.5,Cinco Ranch Southwest,2559,10383,2012,,190,96,Sold,,,https://www.redfin.com/TX/Katy/28115-Rebecca-Meadow-Fall-Ln-77494/home/40169172,HARMLS,63521783,N,Y,29.7179795,-95.8299569
PAST SALE,June-5-2023,Single Family Residential,28234 Moon Portrait Ln,Katy,TX,77494,659950,4,3.5,Trails Of Katy,3567,9854,2018,,185,83,Sold,,,https://www.redfin.com/TX/Katy/28234-Moon-Portrait-Ln-77494/home/109809424,HARMLS,66752814,N,Y,29.768829,-95.8599905
PAST SALE,July-17-2023,Single Family Residential,3411 Smart Sands Ln,Fulshear,TX,77441,420000,4,3.5,Churchill Farms,2399,6306,2014,,175,72,Sold,,,https://www.redfin.com/TX/Fulshear/3411-Smart-Sands-Ln-77441/home/53646244,HARMLS,69848834,N,Y,29.7335577,-95.8476858
PAST SALE,July-21-2023,Single Family Residential,4115 Sea Meadow Ct,Katy,TX,77449,225000,3,2.0,Cypress Meadow,1224,6372,1982,,184,29,Sold,,,https://www.redfin.com/TX/Katy/4115-Sea-Meadow-Ct-77449/home/30479706,HARMLS,26536709,N,Y,29.8318952,-95.7063541
PAST SALE,March-31-2023,Single Family Residential,5647 Armillary Dr,Katy,TX,77449,299000,3,2.0,Plantation Lakes,1849,5290,2015,,162,41,Sold,,,https://www.redfin.com/TX/Katy/5647-Armillary-Dr-77449/home/57170988,HARMLS,81904760,N,Y,29.852388,-95.7159358
PAST SALE,May-19-2023,Single Family Residential,2503 Desert Sage Dr,Katy,TX,77449,345000,4,3.0,Raintree Village,2445,6827,1994,,141,36,Sold,,,https://www.redfin.com/TX/Katy/2503-Desert-Sage-Dr-77449/home/30529296,HARMLS,56191278,N,Y,29.80387,-95.7385596
PAST SALE,September-8-2023,Single Family Residential,803 Park Wind Dr,Katy,TX,77450,305000,3,2.0,Memorial Pkwy,2304,13530,1975,,132,35,Sold,,,https://www.redfin.com/TX/Katy/803-Park-Wind-Dr-77450/home/30317030,HARMLS,22190166,N,Y,29.7699262,-95.7459245
PAST SALE,August-16-2023,Single Family Residential,22706 Spatswood Ln,Katy,TX,77449,360000,4,2.0,Williamsburg Settlement,2251,10296,1982,,160,63,Sold,,,https://www.redfin.com/TX/Katy/22706-Spatswood-Ln-77449/home/30510036,HARMLS,92996910,N,Y,29.7989981,-95.7656372
